,ts,id,Ax,Ay,Az,Gx,Gy,Gz
0,-0.755,IMU0,-0.037109375,-0.48974609375,-0.08544921875,-0.5602240896358543,-0.42016806722689076,-0.0700280112044818
1,-0.745,IMU0,-0.0361328125,-0.4931640625,-0.07861328125,-0.5602240896358543,-0.700280112044818,-0.0700280112044818
2,-0.735,IMU0,-0.0361328125,-0.4931640625,-0.07861328125,-0.5602240896358543,-0.700280112044818,-0.0700280112044818
3,-0.725,IMU0,-0.037109375,-0.498046875,-0.07958984375,-0.6302521008403361,-0.6302521008403361,-0.1400560224089636
4,-0.715,IMU0,-0.0390625,-0.4970703125,-0.0859375,-0.6302521008403361,-0.4901960784313726,-0.0700280112044818
5,-0.705,IMU0,-0.03662109375,-0.49560546875,-0.07958984375,-0.700280112044818,0.350140056022409,0.1400560224089636
6,-0.695,IMU0,-0.0400390625,-0.494140625,-0.07861328125,-0.7703081232492998,0.6302521008403361,0.21008403361344538
7,-0.685,IMU0,-0.03955078125,-0.4921875,-0.0849609375,-0.8403361344537815,0.700280112044818,0.21008403361344538
8,-0.675,IMU0,-0.03955078125,-0.49072265625,-0.080078125,-0.7703081232492998,0.9103641456582633,0.1400560224089636
9,-0.665,IMU0,-0.041015625,-0.49169921875,-0.08154296875,-0.7703081232492998,-0.1400560224089636,0.0
10,-0.655,IMU0,-0.03955078125,-0.4951171875,-0.0849609375,-0.700280112044818,-0.6302521008403361,-0.0700280112044818
11,-0.645,IMU0,-0.0419921875,-0.4951171875,-0.078125,-0.6302521008403361,-0.42016806722689076,-0.1400560224089636
12,-0.635,IMU0,-0.03515625,-0.49462890625,-0.08447265625,-0.5602240896358543,-0.4901960784313726,-0.1400560224089636
13,-0.625,IMU0,-0.041015625,-0.49609375,-0.07861328125,-0.5602240896358543,-0.0700280112044818,-0.0700280112044818
14,-0.615,IMU0,-0.03515625,-0.49169921875,-0.0791015625,-0.700280112044818,-0.1400560224089636,-0.0700280112044818
15,-0.605,IMU0,-0.03662109375,-0.4912109375,-0.07763671875,-0.8403361344537815,-0.21008403361344538,-0.0700280112044818
16,-0.595,IMU0,-0.04052734375,-0.49169921875,-0.0791015625,-0.7703081232492998,-0.4901960784313726,-0.0700280112044818
17,-0.585,IMU0,-0.03369140625,-0.4912109375,-0.08056640625,-0.9803921568627452,-0.42016806722689076,0.0
18,-0.575,IMU0,-0.04248046875,-0.4951171875,-0.08203125,-0.9803921568627452,-0.350140056022409,0.0
19,-0.565,IMU0,-0.03759765625,-0.49609375,-0.0869140625,-0.9103641456582633,-0.700280112044818,0.0
20,-0.555,IMU0,-0.0400390625,-0.49609375,-0.08349609375,-0.8403361344537815,-0.21008403361344538,-0.0700280112044818
21,-0.545,IMU0,-0.04150390625,-0.4951171875,-0.083984375,-0.7703081232492998,0.0,-0.0700280112044818
22,-0.535,IMU0,-0.037109375,-0.4921875,-0.08203125,-0.700280112044818,-0.6302521008403361,-0.21008403361344538
23,-0.525,IMU0,-0.0390625,-0.49169921875,-0.08056640625,-0.6302521008403361,-0.5602240896358543,-0.21008403361344538
24,-0.515,IMU0,-0.03564453125,-0.49169921875,-0.07763671875,-0.6302521008403361,-0.4901960784313726,-0.21008403361344538
25,-0.505,IMU0,-0.03662109375,-0.49267578125,-0.0791015625,-0.700280112044818,-0.6302521008403361,-0.1400560224089636
26,-0.495,IMU0,-0.03662109375,-0.494140625,-0.07861328125,-0.8403361344537815,-0.8403361344537815,-0.0700280112044818
27,-0.485,IMU0,-0.03564453125,-0.4970703125,-0.08056640625,-0.8403361344537815,-0.4901960784313726,0.0
28,-0.475,IMU0,-0.03662109375,-0.4951171875,-0.08203125,-0.9103641456582633,-0.1400560224089636,0.0700280112044818
29,-0.465,IMU0,-0.0400390625,-0.494140625,-0.07958984375,-0.9803921568627452,-0.350140056022409,0.1400560224089636
30,-0.455,IMU0,-0.037109375,-0.494140625,-0.0869140625,-0.9803921568627452,-0.1400560224089636,0.1400560224089636
31,-0.445,IMU0,-0.04052734375,-0.48974609375,-0.0830078125,-0.9103641456582633,-0.4901960784313726,0.0
32,-0.435,IMU0,-0.04248046875,-0.490234375,-0.08642578125,-0.700280112044818,-0.6302521008403361,0.0
33,-0.425,IMU0,-0.0380859375,-0.49560546875,-0.08154296875,-0.5602240896358543,-0.42016806722689076,0.0
34,-0.415,IMU0,-0.03662109375,-0.49609375,-0.08251953125,-0.4901960784313726,-1.1204481792717087,-0.21008403361344538
35,-0.405,IMU0,-0.037109375,-0.4951171875,-0.08056640625,-0.42016806722689076,-1.1904761904761905,-0.2801120448179272
36,-0.395,IMU0,-0.03564453125,-0.4951171875,-0.08056640625,-0.6302521008403361,-0.6302521008403361,-0.1400560224089636
